year,stage,count,sim
1995,second,0.9567673703582025,57
1996,second,1.2426568135943172,57
1997,second,4.367466113673167,57
1998,second,0.6852249219305546,57
1999,second,2.1244305246679045,57
2000,second,1.382853841719972,57
2001,second,2.1819078005588333,57
2002,second,0.9267944462294772,57
2003,second,2.680871025067545,57
2004,second,6.2434317116617954,57
2005,second,52.916789792978435,57
2006,second,126.5334594820447,57
2007,second,90.12709284961116,57
2008,second,84.68251947715102,57
2009,second,878.2650892877391,57
2010,second,594.2808617175255,57
2011,second,146.56241326532637,57
2012,second,814.9293964590162,57
2013,second,696.0715761156379,57
2014,second,1301.217575823125,57
2015,second,316.0955267757174,57
2016,second,670.3172508353074,57
2017,second,383.104926703111,57
1986,third,44.85663277937074,57
1987,third,15.58796193710828,57
1988,third,29.489712074494896,57
1989,third,2.691507885898556,57
1990,third,4.147475608238169,57
1991,third,23.334733409893126,57
1992,third,8.469297278313025,57
1993,third,2.6042726827389853,57
1994,third,5.253422099325761,57
1995,third,0.9511073249481417,57
1996,third,1.9554608918481944,57
1997,third,11.116012606485866,57
1998,third,3.0043540148552577,57
1999,third,0.9526889420759381,57
2000,third,0.6734600709929928,57
2001,third,0.5779445796166247,57
2002,third,2.312209302882171,57
2003,third,0.3910362379663101,57
2004,third,0.7439842187468386,57
2005,third,29.170640601766465,57
2006,third,33.72845513928422,57
2007,third,244.88370662875295,57
2008,third,63.426983433299476,57
2009,third,374.279300230318,57
2010,third,794.0051553710068,57
2011,third,2338.7147201885136,57
2012,third,69.3095983789623,57
2013,third,285.19832597950625,57
2014,third,994.0183276320109,57
2015,third,1471.6488019056771,57
2016,third,1782.1806733319793,57
2017,third,509.960727373347,57
1986,adult,23.057532801308977,57
1987,adult,26.795465479921166,57
1988,adult,11.876794230921636,57
1989,adult,28.369076901769155,57
1990,adult,46.01204270541949,57
1991,adult,23.319783678708927,57
1992,adult,14.750236368543208,57
1993,adult,17.996790083174655,57
1994,adult,24.524207450953202,57
1995,adult,5.652990225601069,57
1996,adult,2.8367373971393772,57
1997,adult,2.4856461015603424,57
1998,adult,20.349599299654724,57
1999,adult,2.733511890341772,57
2000,adult,4.640265457478402,57
2001,adult,1.7338317767768565,57
2002,adult,1.6953536528716289,57
2003,adult,2.34904757541886,57
2004,adult,0.861303613507201,57
2005,adult,2.1640163874730254,57
2006,adult,28.398604245351724,57
2007,adult,66.50411294992249,57
2008,adult,37.37952395728237,57
2009,adult,39.62985306252588,57
2010,adult,73.62590881439608,57
2011,adult,173.7068845082256,57
2012,adult,134.68140637628255,57
2013,adult,296.1434462768444,57
2014,adult,242.14375617861495,57
2015,adult,567.8492289551815,57
2016,adult,2264.9198439678207,57
2017,adult,2032.5580816395163,57
1986,first,216.38922486721287,58
1987,first,110.22942785046878,58
1988,first,64.32969546862131,58
1989,first,38.43000128589989,58
1990,first,908.7661351806123,58
1991,first,454.9337421590466,58
1992,first,371.4837618348055,58
1993,first,226.34391631324908,58
1994,first,320.6436659674785,58
1995,first,401.04256421017027,58
1996,first,7310.73434770271,58
1997,first,9662.952821547526,58
1998,first,47949.18203808514,58
1999,first,4182.497618167854,58
2000,first,14004.131265809783,58
2001,first,1802.4365168569288,58
2002,first,2755.555963653498,58
2003,first,272.3755721403185,58
2004,first,678.4928798511603,58
2005,first,49.18445239754166,58
2006,first,138.4114125123939,58
2007,first,180.85851197618962,58
2008,first,306.94554171072826,58
2009,first,115.96090234791654,58
2010,first,31.938884989243174,58
2011,first,60.741493911893514,58
2012,first,112.38686939532937,58
2013,first,72.86626743143145,58
2014,first,251.59998482518228,58
2015,first,56.71029087556126,58
2016,first,109.67215991875231,58
2017,first,312.14760588419637,58
1986,second,70.21264811315758,58
1987,second,91.05518244506888,58
1988,second,127.14338077562914,58
1989,second,66.52118337141886,58
1990,second,69.11320997955913,58
1991,second,377.98932262424364,58
1992,second,499.6773030674328,58
1993,second,570.7625543256286,58
1994,second,441.9296735335206,58
1995,second,220.1898746524149,58
1996,second,1997.8531729617214,58
1997,second,6087.445423111908,58
1998,second,3374.662969487946,58
1999,second,4874.274328755343,58
2000,second,2031.6518839645244,58
2001,second,4511.513807540856,58
2002,second,3455.7554241625016,58
2003,second,2707.1588489855512,58
2004,second,739.797192074165,58
2005,second,427.9540539328343,58
2006,second,58.09877077136106,58
2007,second,161.110139382333,58
2008,second,32.248795681700976,58
2009,second,65.45747714572673,58
2010,second,108.7460122421672,58
2011,second,52.46583502476479,58
2012,second,48.537545751915,58
2013,second,28.473453813680848,58
2014,second,510.02312114855437,58
2015,second,87.71961007557977,58
2016,second,219.11909387654168,58
2017,second,189.10747300915207,58
1986,third,7.835638515954312,58
1987,third,14.969321542304964,58
1988,third,124.75690120035397,58
1989,third,201.4716353925349,58
1990,third,62.71672099689933,58
1991,third,35.74826005522098,58
1992,third,38.64555449039138,58
1993,third,143.074869099398,58
1994,third,420.7403113264033,58
1995,third,159.14805994548414,58
1996,third,229.25596112321205,58
1997,third,3366.329021013226,58
1998,third,2113.8090112362142,58
1999,third,2306.8732168130828,58
2000,third,9038.427015704929,58
