name,stage,time,middle,lower16,upper84
n_sim,NA,NA,3.9866139102425127,3.018078754892076,4.966138105573635
n_sim,NA,NA,3.828108439955524,2.851540891309102,4.8106289005505705
n_sim,NA,NA,3.664013459117361,2.655230161266713,4.67102695873676
n_sim,NA,NA,3.813411598466499,2.8479916647625365,4.76814663180788
n_sim,NA,NA,3.908401140023973,2.9041932875813563,4.883790503284506
n_sim,NA,NA,3.8256652833525964,2.877166776451483,4.78978535624741
n_sim,NA,NA,3.6321620547387408,2.645322171046302,4.608822874536689
n_sim,NA,NA,3.714884244722236,2.735415037113084,4.714169482547664
n_sim,NA,NA,3.7527602727079312,2.769749917551619,4.740230347226832
n_sim,NA,NA,3.700512594515967,2.734047491996092,4.719650049926961
n_sim,NA,NA,3.6058842036850995,2.591741610052602,4.600081734329107
n_sim,NA,NA,3.599152040604521,2.6321381492392564,4.589139325963844
n_sim,NA,NA,3.6617605320380293,2.6732146099327343,4.632308692627545
n_sim,NA,NA,3.5842700731680472,2.5961716183487265,4.568207730495034
n_sim,NA,NA,3.515119850985762,2.5345190474755914,4.500638114583185
n_sim,NA,NA,3.5460848483694947,2.538919150786218,4.499707691478045
n_sim,NA,NA,3.5087103120159187,2.582702293136568,4.5328007010017455
n_sim,NA,NA,3.49853108903251,2.54397245488211,4.490062506356433
n_sim,NA,NA,3.4920650611147366,2.4743345731849415,4.4738658070238
n_sim,NA,NA,3.4361148686772967,2.4240185133935874,4.413880159242955
n_sim,NA,NA,3.4790830712760483,2.447604929983783,4.462270539283305
n_sim,NA,NA,3.4316913016945287,2.4681675864736023,4.425140014598097
n_sim,NA,NA,3.048543085558218,1.9342189647917951,4.132925679413521
n_sim,NA,NA,3.1179704098281142,2.031326048243105,4.230854738674114
n_sim,NA,NA,4.215876953635483,3.1724857950883103,5.298502844826398
n_sim,NA,NA,3.7258377600035857,2.682830677702969,4.746135809373143
n_sim,NA,NA,3.3817954538275528,2.353491811101965,4.367913773553844
n_sim,NA,NA,3.262861242315763,2.2588325607706277,4.259555953520127
n_sim,NA,NA,3.873507274289045,2.9006000877005977,4.899456524999449
n_sim,NA,NA,3.7547922962748466,2.7701403102201074,4.761606189884003
n_sim,NA,NA,3.4853293850794467,2.4658929083493737,4.46529205705257
n_sim,NA,NA,3.3086812203873777,2.338488465080686,4.312771771547901
n_sim,NA,NA,3.637148602330311,2.6404358373089534,4.635518986105055
n_sim,NA,NA,3.668777336166046,2.6814914335271642,4.629155651526374
n_sim,NA,NA,3.518970699230423,2.506817706296679,4.493502921190115
n_sim,NA,NA,3.3343274230551043,2.3445867156694193,4.339712657089875
n_sim,NA,NA,3.4919469644640357,2.511448749933117,4.478084962175965
n_sim,NA,NA,3.5542015281311836,2.5823696014719584,4.529442055831437
n_sim,NA,NA,3.4249732474587185,2.440552085888465,4.398260798200478
n_sim,NA,NA,3.2948723140569856,2.3274114087801596,4.252533875829171
n_sim,NA,NA,3.3572516914531914,2.4119208539977617,4.395827352332101
n_sim,NA,NA,3.40953448918353,2.451188342208404,4.391556366772235
n_sim,NA,NA,3.3760155227117448,2.388922961435594,4.288181083282839
n_sim,NA,NA,3.2445218887137095,2.2336513379981726,4.237677955555097
n_sim,NA,NA,3.2674372973902477,2.3084244426504026,4.2760553533624694
n_sim,NA,NA,3.311863785430675,2.33193913651527,4.311154314108093
n_sim,NA,NA,3.2658619220138707,2.2855109893120518,4.2639973070819615
n_sim,NA,NA,3.2112416588603443,2.2251527035553926,4.196353403630805
n_sim,NA,NA,3.1838410218117055,2.1825852557076133,4.1720364042477005
n_sim,NA,NA,3.1997792240009977,2.176098779747719,4.141201508814066
n_sim,NA,NA,3.1976358832993967,2.179141778146495,4.16693478339905
n_sim,NA,NA,3.1766704040306664,2.1352098332967344,4.130743368565272
n_sim,NA,NA,3.1132546882444947,2.151624108959971,4.0886278235477524
n_sim,NA,NA,3.102210139150442,2.1043873978695027,4.072423457788644
n_sim,NA,NA,3.3141995433537983,2.2653094311474193,4.3350180940428
n_sim,NA,NA,2.9164894296631623,1.9436545003963688,3.9628409247261294
n_sim,NA,NA,2.8473594648323743,1.8010929640312676,3.8620230256338495
n_sim,NA,NA,3.4602326225466644,2.4157771531498455,4.501567200715957
n_sim,NA,NA,3.3655372990188104,2.335638643218455,4.298795865307298
n_sim,NA,NA,3.10304335995552,2.0780400284282354,4.091247857457642
n_sim,NA,NA,2.9129178256732295,1.8833350522341334,3.925126404770438
n_sim,NA,NA,3.2256987172461615,2.2617808620237088,4.21291770304055
n_sim,NA,NA,3.2234626842258334,2.254320089569859,4.19070907087889
n_sim,NA,NA,3.0324924827498103,2.009010330998035,4.041064221890672
n_sim,NA,NA,2.898406839705376,1.9170497374350521,3.9149616508071388
n_sim,NA,NA,3.0928415528044675,2.0488156062054284,4.036898364075835
n_sim,NA,NA,3.1200035813490405,2.126214760424749,4.0857032796855215
n_sim,NA,NA,2.992403340084306,1.990581207919935,3.998396194720876
n_sim,NA,NA,2.9071740034513964,1.8794585128507255,3.914025412749806
n_sim,NA,NA,2.953813991872941,1.9301948719495374,3.924492478176289
n_sim,NA,NA,2.9577014632769534,1.9766698602411492,3.979430541473003
n_sim,NA,NA,2.9324961838385275,1.9389821009329242,3.919491255750599
n_sim,NA,NA,2.8228225028953027,1.823559800213997,3.79778382397284
n_sim,NA,NA,2.860482112798661,1.8521609977799574,3.8521692757309456
n_sim,NA,NA,2.8831913149675517,1.9101929532410706,3.8449828967962363
n_sim,NA,NA,2.840138187885721,1.823367242692158,3.8395953261167595
n_sim,NA,NA,2.7522371323990478,1.7821669024022386,3.7431885650984045
n_sim,NA,NA,2.7522288430755903,1.7907941308996076,3.725688592809974
n_sim,NA,NA,2.780834137788867,1.8123764479889466,3.791125697847523
n_sim,NA,NA,2.744478419412175,1.7552781562331217,3.7453672415145673
n_sim,NA,NA,2.691331914656024,1.713403986996573,3.6912957679733625
n_sim,NA,NA,2.6714338228791403,1.7323732564984384,3.6909371033320557
n_sim,NA,NA,2.69653678518472,1.703881795082591,3.7132452183655453
n_sim,NA,NA,2.6497623760340847,1.7009896343458908,3.666017366867311
n_sim,NA,NA,2.607551883169154,1.5915611297620438,3.621162015572179
n_sim,NA,NA,2.5789885139849504,1.59551292125176,3.602642259401727
resid_obs,NA,NA,-0.5249532087056361,-1.0125573336079754,-0.005754036720908645
resid_obs,NA,NA,0.9554179212058416,0.5518463460295259,1.3876392755874698
resid_obs,NA,NA,-1.5798721147373511,-1.951841683418611,-1.2105631022956194
resid_obs,NA,NA,-0.6237285543974078,-0.9289838405874989,-0.31475505936889103
resid_obs,NA,NA,-0.1469996867483241,-0.43030390976916433,0.13316595355076705
resid_obs,NA,NA,-0.40569469896267396,-0.6955445667462737,-0.1198109389632779
resid_obs,NA,NA,1.505890211244116,1.27523952597022,1.7218022044444672
resid_obs,NA,NA,-0.050584466147858054,-0.2643624310062929,0.17206620789174115
resid_obs,NA,NA,2.1507974219573756,1.931440407520427,2.3711515676813963
resid_obs,NA,NA,2.2536745429854133,2.0319590476556058,2.4581403586206934
resid_obs,NA,NA,1.7312866564114933,1.5339035927174463,1.911484579398934
resid_obs,NA,NA,0.6559275697458278,0.483925195484678,0.8327222343134533
resid_obs,NA,NA,-0.49686720594544376,-0.6794741542642332,-0.30084203364971784
resid_obs,NA,NA,0.5980959195388487,0.4243806018581873,0.7543384359696967
resid_obs,NA,NA,-0.46046889606966657,-0.6352135644750522,-0.30077606442886656
resid_obs,NA,NA,-0.6383480673493545,-0.7933689580764789,-0.4846117561130991
resid_obs,NA,NA,0.45754101526567825,0.2939131621214389,0.6367384289328226
resid_obs,NA,NA,-0.15608389092289787,-0.3133970343752887,-0.010191809652167386
resid_obs,NA,NA,-0.16505590101353707,-0.3282811722641183,-0.009947446309373179
resid_obs,NA,NA,-0.1993513939901077,-0.35315174391582593,-0.0457091389762979
resid_obs,NA,NA,-0.11030534581604301,-0.2732653400451976,0.067308945986489635
resid_obs,NA,NA,-1.8264028665064875,-1.9868792641967936,-1.6693532218225218
resid_obs,NA,NA,-0.004650934417197883,-0.17501636937615517,0.15802812251261572
resid_obs,NA,NA,-0.9722667007595336,-1.140235795321459,-0.8031084937215891
resid_obs,NA,NA,0.09764397677639503,-0.07924602827729793,0.28114406954893234
resid_obs,NA,NA,-1.0457464710930633,-1.2292722015806123,-0.8693870448795538
resid_obs,NA,NA,0.06391516575654421,-0.12384434954593117,0.24962179246214064
resid_obs,NA,NA,-1.5771794472992247,-1.7659493280471399,-1.383918579665817
resid_obs,NA,NA,-1.270119408772683,-1.4679087903651153,-1.064287484452233
resid_obs,NA,NA,0.9461758358179455,0.7382058980441857,1.1520610352170642
resid_obs,NA,NA,0.6768199731702333,0.45941040312286247,0.8886734449824232
resid_obs,NA,NA,-0.38352977260646726,-0.6089765592083858,-0.169544230478067
resid_obs,NA,NA,0.1630062174628517,-0.38222399886610475,0.7388789504921843
resid_obs,NA,NA,0.46725981764007796,-0.009179266618346676,1.0198095715735473
resid_obs,NA,NA,-0.2035382930225409,-0.6114801066851361,0.23623041135947495
resid_obs,NA,NA,0.28280708841882274,-0.08368503425597357,0.6861227964332423
resid_obs,NA,NA,-0.8933809173622025,-1.1945089208963937,-0.5870911871069431
resid_obs,NA,NA,-0.843353139735687,-1.1196045037001674,-0.569360688404046
resid_obs,NA,NA,0.2377770309415843,-0.057043433892881655,0.526979493702872
resid_obs,NA,NA,0.8676152799938617,0.6361230063160759,1.0958188114668335
resid_obs,NA,NA,1.8283785616916721,1.6150020986284905,2.0573189484292875
resid_obs,NA,NA,1.8446760691960777,1.6327769097449585,2.0731581582065037
resid_obs,NA,NA,1.4986255986580572,1.2765097170795299,1.6994208213138728
resid_obs,NA,NA,0.9374668374025332,0.7384142748325759,1.1262251414635231
resid_obs,NA,NA,0.2660713628584763,0.09321058409267699,0.4522185254114658
resid_obs,NA,NA,-0.4479369467555778,-0.6263949868575187,-0.24614744901898938
resid_obs,NA,NA,-0.7121913313757364,-0.8831431529342876,-0.5504725862619129
resid_obs,NA,NA,-0.15883096233375626,-0.33456399368591094,0.01114768354099481
resid_obs,NA,NA,-0.1408746900167146,-0.2992353163100517,0.023243061964552978
resid_obs,NA,NA,0.26974825383606027,0.10480202940461797,0.4526241107848783
resid_obs,NA,NA,-0.8885657831176308,-1.0426316784348768,-0.7368411216500497
resid_obs,NA,NA,0.022745102398757933,-0.14969538805357402,0.18532963206420697
resid_obs,NA,NA,-0.650947417384866,-0.8114097050763763,-0.4887388683292613
resid_obs,NA,NA,-1.471633138293542,-1.6422572304396916,-1.2964825529028934
resid_obs,NA,NA,0.358343550717636,0.1947497483053172,0.5218342293601578
resid_obs,NA,NA,0.06385051306234768,-0.11558152307038502,0.23082623984573727
resid_obs,NA,NA,0.13202731501895526,-0.04823072465640816,0.3012024115625309
resid_obs,NA,NA,0.3007383223747673,0.1134124505257773,0.4793600280275532
resid_obs,NA,NA,-0.3000800040468701,-0.48583814911499595,-0.1224357828546156
resid_obs,NA,NA,-0.11218093305870869,-0.31185030409724146,0.07584985960628794
resid_obs,NA,NA,-0.6965215081040843,-0.8970481774431714,-0.5010424461869911
resid_obs,NA,NA,0.17513547067636415,-0.036628412632802476,0.3750512787868313
resid_obs,NA,NA,1.0693581271172428,0.8539411024257624,1.2761849718856866
resid_obs,NA,NA,0.3249321962801317,0.09545951631031584,0.543081795499722
resid_obs,NA,NA,0.7039574687557648,0.3542395543750863,1.0807511214267207
resid_obs,NA,NA,0.05426744301037245,-0.26449855917841203,0.3710938271256029
resid_obs,NA,NA,0.9966472562091813,0.6853270759085193,1.3005666361565593
resid_obs,NA,NA,0.7130356474109476,0.39185830740671734,1.0414392538896506
resid_obs,NA,NA,-0.7650460495286424,-0.9996332719378689,-0.5296135461118385
