year,name,lower16,middle,upper84,type
2007,e_s32,0.2092923214598453,0.22343185183279152,0.23408102828404662,elasticity
2007,e_s43,0.20929232145984525,0.2234318518327915,0.23408102828404642,elasticity
2007,e_s44,0.06656505320240247,0.10627259266883364,0.16941974770869844,elasticity
2007,lambda,0.9963756100965782,1.0605078972341238,1.149030270553415,lambda
2007,s_rec,0.052329677891028326,0.07174262706046458,0.09743936004876523,sensitivity
2007,s_s21,0.21364170905398017,0.23594877805501074,0.26323743562416807,sensitivity
2007,s_s32,0.27232871914947193,0.3195622061594061,0.3835779269694703,sensitivity
2007,s_s43,0.5245610053103715,0.657221855824155,0.8597449832483639,sensitivity
2007,s_s44,0.29992378990180174,0.3297044445016251,0.3770648107815237,sensitivity
2008,e_rec,0.2115919488134171,0.22466033717324993,0.23433206689609937,elasticity
2008,e_s21,0.21159194881341725,0.22466033717325026,0.2343320668960993,elasticity
2008,e_s32,0.21159194881341697,0.22466033717325004,0.23433206689609937,elasticity
2008,e_s43,0.211591948813417,0.22466033717324974,0.23433206689609942,elasticity
2008,e_s44,0.06543677773072648,0.10135865130700028,0.1616339561248497,elasticity
2008,lambda,1.0228159571301205,1.0944369443087907,1.1946260539223108,lambda
2008,s_rec,0.046296122169893414,0.0649374398043322,0.08906233368247446,sensitivity
2008,s_s21,0.22039335797945428,0.24646233609750529,0.2729961498651799,sensitivity
2008,s_s32,0.2850072975317624,0.3332073529180748,0.4007362599213148,sensitivity
2008,s_s43,0.5396294664511718,0.6838840041701288,0.9026270741796389,sensitivity
2008,s_s44,0.29907758329804485,0.32601898848025,0.37122546709363713,sensitivity
2009,e_rec,0.20946235970763788,0.22361423890671484,0.23424590231987663,elasticity
2009,e_s21,0.20946235970763824,0.2236142389067146,0.2342459023198768,elasticity
2009,e_s32,0.2094623597076381,0.2236142389067148,0.23424590231987635,elasticity
2009,e_s43,0.20946235970763757,0.22361423890671486,0.2342459023198767,elasticity
2009,e_s44,0.06603934245549312,0.1055430443731406,0.1697859020092518,elasticity
2009,lambda,0.997902383200487,1.0734602949791143,1.1672432308828293,lambda
2009,s_rec,0.05045006339280529,0.06975716671323581,0.09583780199958183,sensitivity
2009,s_s21,0.21418583848071598,0.23917192551170874,0.26588695160757747,sensitivity
2009,s_s32,0.2768444727120682,0.3209534966832022,0.3935241192524353,sensitivity
2009,s_s43,0.5312891324552051,0.6628161959649952,0.8690118914423891,sensitivity
2009,s_s44,0.2995295068416197,0.32915728327985555,0.3773394265069391,sensitivity
2010,e_rec,0.20891221849653882,0.22337650640291898,0.23358457739753113,elasticity
2010,e_s21,0.20891221849653863,0.22337650640291884,0.2335845773975312,elasticity
2010,e_s32,0.20891221849653857,0.22337650640291884,0.2335845773975312,elasticity
2010,e_s43,0.20891221849653835,0.22337650640291898,0.23358457739753108,elasticity
2010,e_s44,0.06807922062465675,0.10649397438832409,0.1703069303927753,elasticity
2010,lambda,0.9848352514971611,1.0538636170019173,1.1373900039843268,lambda
2010,s_rec,0.053128536230528024,0.07346969992478047,0.10259478300158156,sensitivity
2010,s_s21,0.2095815529168755,0.23398633293742627,0.2589008741066151,sensitivity
2010,s_s32,0.26928253543681835,0.3155324755696456,0.3877698958711041,sensitivity
2010,s_s43,0.5226580651352335,0.6465997950459523,0.8525331448793245,sensitivity
2010,s_s44,0.3010594154684925,0.32987048079124315,0.3777301977945814,sensitivity
2011,e_rec,0.2041042171394539,0.2206841030968152,0.2323483042726512,elasticity
2011,e_s21,0.2041042171394539,0.22068410309681535,0.23234830427265152,elasticity
2011,e_s32,0.2041042171394539,0.22068410309681524,0.23234830427265118,elasticity
2011,e_s43,0.20410421713945381,0.22068410309681546,0.23234830427265118,elasticity
2011,e_s44,0.07462090241528503,0.11726358761273867,0.1929454926362685,elasticity
2011,lambda,0.9215788105794475,0.9923562672033226,1.0763284571138119,lambda
2011,s_rec,0.06744566008497781,0.08899644627275581,0.12671048981510666,sensitivity
2011,s_s21,0.19364091617563603,0.21632970031935897,0.24521139243927917,sensitivity
2011,s_s32,0.24557445314181484,0.29496763778101154,0.3599705494884424,sensitivity
2011,s_s43,0.4877687654390713,0.6036263912255158,0.7744712591669248,sensitivity
2011,s_s44,0.30596567681146386,0.337947690709554,0.3947091194772013,sensitivity
2012,e_rec,0.20603462532632277,0.22201031457778772,0.23339659254757297,elasticity
2012,e_s21,0.206034625326323,0.22201031457778764,0.23339659254757278,elasticity
2012,e_s32,0.20603462532632272,0.22201031457778778,0.23339659254757283,elasticity
2012,e_s43,0.20603462532632277,0.2220103145777877,0.2333965925475731,elasticity
2012,e_s44,0.06867212529032549,0.11195874168884916,0.18212422583323537,elasticity
2012,lambda,0.9581796845683267,1.0318056487321128,1.1179515962040285,lambda
2012,s_rec,0.05895255575252012,0.07940909252249895,0.11077869363604856,sensitivity
2012,s_s21,0.2018562791681622,0.22742790920069883,0.25432324659751027,sensitivity
2012,s_s32,0.2624617500979298,0.3053082886255691,0.3770123072102144,sensitivity
2012,s_s43,0.5077999309385156,0.6310993442828263,0.8218819415985998,sensitivity
2012,s_s44,0.3015040939677441,0.33396905626663687,0.3865931693749264,sensitivity
2013,e_rec,0.21080394363505478,0.22441083607035606,0.23450269452397915,elasticity
2013,e_s21,0.21080394363505514,0.2244108360703562,0.23450269452397904,elasticity
2013,e_s32,0.21080394363505503,0.224410836070356,0.2345026945239792,elasticity
2013,e_s43,0.210803943635055,0.22441083607035597,0.23450269452397898,elasticity
2013,e_s44,0.06496021424914435,0.10235665571857577,0.16378372887245074,elasticity
2013,lambda,1.0055028253618623,1.0872461324206397,1.1838292478208576,lambda
2013,s_rec,0.04756651991957772,0.06699273170893055,0.09332571056495689,sensitivity
2013,s_s21,0.2160441768932284,0.24325876319291934,0.270092342118016,sensitivity
2013,s_s32,0.2772847199540023,0.33006783592246736,0.40248791387237504,sensitivity
2013,s_s43,0.5421475821528811,0.6714836296986271,0.8943348336960432,sensitivity
2013,s_s44,0.2987201606868582,0.32676749178893183,0.37283779665433797,sensitivity
2014,e_rec,0.20749311548557856,0.22293468462929414,0.23361484692300935,elasticity
2014,e_s21,0.2074931154855792,0.22293468462929394,0.23361484692300907,elasticity
2014,e_s32,0.20749311548557858,0.22293468462929408,0.23361484692300907,elasticity
2014,e_s43,0.20749311548557878,0.22293468462929408,0.23361484692300907,elasticity
2014,e_s44,0.06772057730785044,0.10826126148282368,0.17563498776379274,elasticity
2014,lambda,0.964281130939564,1.0465288138188191,1.1455482294936852,lambda
2014,s_rec,0.054784564084143283,0.0747890528759151,0.10746359243956297,sensitivity
2014,s_s21,0.20476079051339688,0.23208791890683997,0.2615123484760432,sensitivity
2014,s_s32,0.2653514184780498,0.31435916973918,0.3799355802783759,sensitivity
2014,s_s43,0.5104644345451231,0.6472938216022597,0.8379004025657054,sensitivity
2014,s_s44,0.300790432980888,0.3311959461121178,0.3817262408228447,sensitivity
2015,e_rec,0.20490123001823526,0.22169860105952333,0.23313274292992905,elasticity
2015,e_s21,0.20490123001823518,0.22169860105952333,0.23313274292992903,elasticity
2015,e_s32,0.2049012300182352,0.2216986010595235,0.2331327429299293,elasticity
2015,e_s43,0.20490123001823526,0.2216986010595233,0.2331327429299291,elasticity
2015,e_s44,0.07088874735509498,0.11320559576190654,0.18564571766264956,elasticity
2015,lambda,0.9038328924041198,1.0102551233222208,1.1305481106263162,lambda
2015,s_rec,0.05952287925792449,0.0845785159283268,0.12536568519984753,sensitivity
2015,s_s21,0.1912564994690248,0.22245593184439705,0.2565384987303382,sensitivity
2015,s_s32,0.24721564447085523,0.3004406751238946,0.369722393206534,sensitivity
2015,s_s43,0.4938340270500002,0.6165756976938859,0.7999501724477909,sensitivity
2015,s_s44,0.30316656051632124,0.3349041968214298,0.3892342882469872,sensitivity
2016,e_rec,0.20351081394094106,0.22222962078264308,0.23313095092138414,elasticity
2016,e_s21,0.20351081394094114,0.22222962078264283,0.23313095092138408,elasticity
2016,e_s32,0.20351081394094128,0.22222962078264313,0.23313095092138414,elasticity
2016,e_s43,0.20351081394094112,0.222229620782643,0.23313095092138397,elasticity
2016,e_s44,0.06998877031635194,0.11108151686942805,0.19379532585112869,elasticity
2016,lambda,0.8761974921106375,1.014414739266991,1.175550294190795,lambda
2016,s_rec,0.05230448674528295,0.08365284006968879,0.1431648094247546,sensitivity
2016,s_s21,0.1844229516239145,0.22154146047298842,0.2687869719908817,sensitivity
2016,s_s32,0.23686685158985568,0.3009060899909885,0.3871418770336042,sensitivity
2016,s_s43,0.48371818408385603,0.620534361710112,0.8246366049836196,sensitivity
2016,s_s44,0.30249157773726376,0.3333111376520711,0.39534649438834657,sensitivity
