year,stage,count,sim
1992,second,41.99022664349608,20
1993,second,59.62346185352428,20
1994,second,129.45385534271514,20
1995,second,268.1858483978132,20
1996,second,64.8868408852953,20
1997,second,79.84659930567535,20
1998,second,24.13702932657877,20
1999,second,39.64197767735441,20
2000,second,45.670646937455146,20
2001,second,67.79539533765023,20
2002,second,36.705770215501225,20
2003,second,10.938068132967727,20
2004,second,5.6707588133131335,20
2005,second,18.9439780217616,20
2006,second,16.88881759257452,20
2007,second,26.38625910961313,20
2008,second,17.89055968725559,20
2009,second,33.03810345712565,20
2010,second,5.626154932823877,20
2011,second,70.42952231805313,20
2012,second,23.00431187361031,20
2013,second,20.59336774835177,20
2014,second,13.798754734977722,20
2015,second,15.330247124814285,20
2016,second,52.260822461221345,20
2017,second,55.722155235514585,20
1986,third,9.787727266858871,20
1987,third,40.910770719961754,20
1988,third,20.926202095786312,20
1989,third,28.294682601578792,20
1990,third,17.721824948552985,20
1991,third,27.96611844691145,20
1992,third,101.77678826190224,20
1993,third,155.87164482292147,20
1994,third,34.65275136835026,20
1995,third,49.38631184504643,20
1996,third,208.7912913972862,20
1997,third,161.86762711192148,20
1998,third,119.99844547530729,20
1999,third,10.083157895274873,20
2000,third,33.620781574354694,20
2001,third,42.53013174283336,20
2002,third,21.389721709084025,20
2003,third,10.445990698775878,20
2004,third,45.467652815121305,20
2005,third,32.87130369239579,20
2006,third,33.40366747348231,20
2007,third,12.169784744177548,20
2008,third,33.42048260063727,20
2009,third,12.728626973438654,20
2010,third,47.301618676678864,20
2011,third,12.938179645093168,20
2012,third,16.632712974492236,20
2013,third,10.742840536837713,20
2014,third,24.289545794578515,20
2015,third,25.61819971683798,20
2016,third,51.74791865651408,20
2017,third,29.650705352765787,20
1986,adult,57.84673088220758,20
1987,adult,14.98415437818821,20
1988,adult,24.202018552931595,20
1989,adult,25.890565159977367,20
1990,adult,44.92674608331562,20
1991,adult,24.059939702334606,20
1992,adult,7.3435388971290205,20
1993,adult,9.964693766025732,20
1994,adult,38.05114220099481,20
1995,adult,3.5730801439911133,20
1996,adult,5.971287972136029,20
1997,adult,25.112330350796018,20
1998,adult,18.067029848443255,20
1999,adult,14.113615677158899,20
2000,adult,18.15027879604759,20
2001,adult,17.667882037852525,20
2002,adult,3.6716581643928503,20
2003,adult,1.2975596203154005,20
2004,adult,2.262021558469642,20
2005,adult,4.606160432922414,20
2006,adult,15.005788339041477,20
2007,adult,27.679146463449378,20
2008,adult,8.342115630881107,20
2009,adult,23.310558546206522,20
2010,adult,12.5700367593712,20
2011,adult,17.711466580768178,20
2012,adult,13.270573298670621,20
2013,adult,29.8521838285357,20
2014,adult,87.94554842503526,20
2015,adult,13.593229622379768,20
2016,adult,32.96288504118163,20
2017,adult,54.161608709693986,20
1986,first,40.4097692405605,21
1987,first,38.6535470746305,21
1988,first,31.87716641664808,21
1989,first,7.627715369691486,21
1990,first,50.94164145377498,21
1991,first,97.46136251324947,21
1992,first,257.34650617096,21
1993,first,214.43170938251464,21
1994,first,181.18797058837754,21
1995,first,161.35779428874395,21
1996,first,431.04177884991446,21
1997,first,19.74253994541924,21
1998,first,122.8420784380563,21
1999,first,59.93556575560343,21
2000,first,35.767852350209,21
2001,first,13.307398152671732,21
2002,first,50.89184158814272,21
2003,first,18.655700751827762,21
2004,first,9.370830724312281,21
2005,first,11.858707700776037,21
2006,first,15.315744822074413,21
2007,first,12.748312471510001,21
2008,first,39.246598964248435,21
2009,first,17.91525579895447,21
2010,first,34.572190404987545,21
2011,first,12.048701930866107,21
2012,first,20.02455303852572,21
2013,first,36.984259834910894,21
2014,first,23.175992862795972,21
2015,first,203.8374987148278,21
2016,first,28.286328553623818,21
2017,first,35.1897542030202,21
1986,second,33.1840187822438,21
1987,second,46.086825400568415,21
1988,second,23.65192735220475,21
1989,second,30.686511692128295,21
1990,second,14.038686301229871,21
1991,second,21.181790307831115,21
1992,second,90.81485973017008,21
1993,second,203.09301373693992,21
1994,second,181.99529229651648,21
1995,second,553.2576908403266,21
1996,second,198.54833707051972,21
1997,second,31.59626217806521,21
1998,second,18.649717582468817,21
1999,second,55.06777950006719,21
2000,second,45.228433362882285,21
2001,second,35.25952831815554,21
2002,second,115.56753083491989,21
2003,second,17.821071472361595,21
2004,second,13.193630405694478,21
2005,second,22.859966144304792,21
2006,second,26.36991570092592,21
2007,second,23.107414997590748,21
2008,second,38.65908536564183,21
2009,second,14.994691986623435,21
2010,second,33.903053784373796,21
2011,second,16.881444771701137,21
2012,second,20.61891617285724,21
2013,second,65.19179375867537,21
2014,second,32.93622564247036,21
2015,second,103.04789853229728,21
2016,second,72.62015331612734,21
2017,second,84.4595928462947,21
1986,third,15.355247978669059,21
1987,third,28.345187270821977,21
1988,third,22.263962379786534,21
1989,third,28.685607117570875,21
1990,third,16.07492184603659,21
1991,third,23.044122565667887,21
1992,third,25.65798650601091,21
1993,third,57.17221342448052,21
1994,third,229.5568592033861,21
1995,third,131.23665161352116,21
1996,third,209.92010082625833,21
1997,third,227.5294164117204,21
1998,third,76.69819961000883,21
1999,third,46.23647627178377,21
2000,third,34.356183716862915,21
2001,third,28.385035250411796,21
2002,third,17.92667975137388,21
2003,third,58.07592482946158,21
2004,third,14.922929100601639,21
2005,third,21.695724874891205,21
2006,third,12.210377493353572,21
2007,third,13.150611740936423,21
2008,third,20.104973158626617,21
2009,third,23.88263483265992,21
2010,third,65.79105633969752,21
2011,third,14.814690429806186,21
2012,third,53.6914475615386,21
2013,third,10.801859020261592,21
2014,third,5.2796367451179655,21
2015,third,23.205620082895944,21
2016,third,18.70456796469088,21
2017,third,32.11038951263623,21
1986,adult,16.351784574802203,21
1987,adult,32.47440084188338,21
1988,adult,31.265491981659384,21
1989,adult,28.67493774021075,21
1990,adult,12.278763828650284,21
1991,adult,5.68824318972398,21
1992,adult,22.63744810816204,21
1993,adult,10.023943464837524,21
1994,adult,111.67067030652487,21
1995,adult,10.300625914959937,21
1996,adult,13.435703502740871,21
1997,adult,23.26224854081055,21
1998,adult,14.795785250563483,21
1999,adult,33.18197771920989,21
2000,adult,40.41261164823275,21
2001,adult,8.248524610129644,21
2002,adult,2.853159159785893,21
2003,adult,4.4384896312657425,21
2004,adult,7.651477271467578,21
2005,adult,4.2923538390370135,21
2006,adult,5.211962103563225,21
2007,adult,5.558107504540158,21
2008,adult,9.710555324471837,21
